useragent,comment
*EroCrawler*,
*evc-batch*,
*Evil*,
*Exabot*,
**exploit**,
*Express WebPictures*,
*ExtLinksBot*,
*Extractor*,
*ExtractorPro*,
*Extreme Picture Finder*,
*EyeNetIE*,
*Ezooms*,
*FacebookBot*,
*facebookscraper*,
*FDM*,
*FemtosearchBot*,
*FHscan*,
*FHScan Core*,
*Fimap*,
*Firefox/7.0*,
*Firefox/89.0*,
*FlashGet*,
*floodgate*,
*Flunky*,
*Foobot*,
*ForAFeature*,
*Freeuploader*,
*FrontPage*,
*Fuzz*,
*FyberSpider*,
*Fyrebot*,
*GalaxyBot*,
*Gecko/20100101*,
*GeekingToTheMoon*,
*Genieo*,
*GermCrawler*,
*Getintent*,
*GetRight*,
*GetWeb*,
*G-i-g-a-b-o-t*,
*Gigabot*,
*GIS - AppSec Team - Project Vision*,
*Go-Ahead-Got-It*,
*Google-Extended*,
*gootkit auto*,
*gopher*,
*Gotit*,
*Go!Zilla*,
*GoZilla*,
*GPTBot*,
*Grabber*,
*GrabNet*,
*Grafula*,
*GrapeFX*,
*GrapeshotCrawler*,
*grendel*,
*GridBot*,
*GT::WWW*,
*GunnaWunnaBlueTips*,
*Haansoft*,
*HaosouSpider*,
*Harvest*,
*Havana/0.1*,
* Havij*,
*Havij*,
*HEADMasterSEO*,
*heritrix*,
*Heritrix*,
*Hloader*,
*HMView*,
*HonoluluBot*,
*hots scot*,
*HttpBrowser/1.0*,
*HTTP::Lite*,
*HTTrack*,
*Humanlinks*,
*HybridBot*,
*(hydra)*,
*Iblog*,
*IczelionDownLoad*,
*IDBot*,
*IDBTE4M*,
*Id-search*,
*IlseBot*,
*Image Fetch*,
*ImagesiftBot*,
*imagesift.com*,
*Image Sucker*,
*iMightJustPayMySelfForAFeature*,
*IndeedBot*,
*Indy Library*,
*InfoNaviRobot*,
*Information Security Team InfraSec Scanner*,
*InfoTekies*,
*InfraSec Scanner*,
* inspath *,
*instabid*,
*Intelliseek*,
*InterGET*,
*Internet Explorer **,
*InternetMeasurement*,
*internet ninja*,
*Internet Ninja*,
*InternetSeer*,
*internetVista monitor*,
*ips-agent*,
*Iria*,
*IRLbot*,
*isitwp.com*,
*Iskanie*,
*IstellaBot*,
*iubenda-radar*,
*jaascois*,
*JamesBOT*,
*Jbrofuzz*,
*JennyBot*,
*JetCar*,
*Jetty*,
*JikeSpider*,
*JOC Web Spider*,
*Jyxobot*,
*Kenjin Spider*,
*Keybot Translation-Search-Machine*,
*Keyword Density*,
*Kinza*,
*Kozmosbot*,
*Lanshanbot*,
*Larbin*,
*Leap*,
*LeechFTP*,
*LeechGet*,
*LexiBot*,
*Lftp*,
*LibWeb*,
*Libwhisker*,
*License*,
*LieBaoFast*,
*Lightspeedsystems*,
*Likse*,
*Lilith*,
*Linkbot*,
*linkdexbot*,
*LinkextractorPro*,
*linkfluence*,
*LinkpadBot*,
*LinkScan*,
*LinksManager*,
*LinkWalker*,
*LinqiaMetadataDownloaderBot*,
*LinqiaRSSBot*,
*LinqiaScrapeBot*,
*Lipperhey*,
*Lipperhey Spider*,
*Litemage_walker*,
*Lmspider*,
*LNSpiderguy*,
*Ltx71*,
*lwp-request*,
*LWP::Simple*,
*lwp-trivial*,
*Magnet*,
*Mag-Net*,
*magpie-crawler*,
*Mail.RU_Bot*,
*Majestic12*,
*Majestic-SEO*,
*Majestic SEO*,
*MarkMonitor*,
*MarkWatch*,
*masscan*,
*Masscan*,
*Mass Downloader*,
*Mata Hari*,
*MauiBot*,
*Mb2345Browser*,
** mdms*,
*meanpathbot*,
*Meanpathbot*,
*MeanPath Bot*,
*Mediatoolkitbot*,
*mediawords*,
*MegaIndex.ru*,
*Metauri*,
* metis *,
*MFC_Tear_Sample*,
*MicroMessenger*,
*Microsoft Data Access*,
**Microsoft Internet Explorer**,
*Microsoft Internet Explorer*,
*Microsoft URL Control*,
*MIDown tool*,
*MIIxpc*,
*Minefield*,
*Mister PiX*,
*MJ12bot*,
*Moblie Safari*,
*Mojeek*,
*Mojolicious*,
*MolokaiBot*,
*morfeus fucking scanner*,
*Morfeus Fucking Scanner*,
*Moxilla*,
*Mozlila*,
*mozzzzzzzzzzz*,
*MQQBrowser*,
*Mr.4x3*,
*MSFrontPage*,
*MSIECrawler*,
*Msrabot*,
*MTRobot*,
*muhstik-scan*,
*Musobot*,
*mysqloit*,
*Name Intelligence*,
*Nameprotect*,
*Navroad*,
*NearSite*,
*Needle*,
*Nessus*,
*NetAnts*,
*Netcraft*,
*netEstate NE Crawler*,
*NetLyzer*,
*NetMechanic*,
*Netscape*,
*NetSpider*,
*Nettrack*,
*Net Vampire*,
*Netvibes*,
*NetZIP*,
*NextGenSearchBot*,
*Nibbler*,
*NICErsPRO*,
*Niki-bot*,
*Nikto*,
*NimbleCrawler*,
*Nimbostratus*,
*Ninja*,
*Nmap*,
*nocase*,
*NPbot*,
*nsauditor*,
*nsis_inetc (mozilla)*,
*Nuclei*,
*Nutch*,
*O/9.27 (W; U; Z)*,
*oBot*,
*Octopus*,
*Offline Explorer*,
*Offline Navigator*,
*omgili*,
*OnCrawl*,
*openai*,
*openai.com*,
*Openfind*,
*OpenLinkProfiler*,
*Openvas*,
*OpenVAS*,
*Opera*,
*Opera/8.81 (Windows NT 6.0; U; en)*,
*OrangeBot*,
*OrangeSpider*,
*OutclicksBot*,
*OutfoxBot*,
*Page Analyzer*,
*PageAnalyzer*,
*PageGrabber*,
*page scorer*,
*PageScorer*,
*PageThing.com*,
*Pandalytics*,
*pangolin*,
*Panscient*,
*Papa Foto*,
*Pavuk*,
*pcBrowser*,
*PECL::HTTP*,
*PeoplePal*,
*Petalbot*,
*PHPCrawl*,
*Picscout*,
*Picsearch*,
*PictureFinder*,
*Piepmatz*,
*Pimonster*,
*Pi-Monster*,
*Pixray*,
*PleaseCrawl*,
*plumanalytics*,
*pmafind*,
*Pockey*,
*POE-Component-Client-HTTP*,
*polaris version*,
*probe-image-size*,
*Probethenet*,
*Project1*,
*Project1sqlite*,
*ProPowerBot*,
*ProWebWalker*,
*Proximic*,
*Psbot*,
*Pu_iN*,
*Pump*,
*PxBroker*,
** pxyscand**,
*PyCurl*,
*QueryN Metasearch*,
*Quick-Crawler*,
*qwrqrwrqwrqwr*,
*Rainbot*,
*RankActive*,
*RankActiveLinkBot*,
*RankFlex*,
*RankingBot*,
*RankingBot2*,
*Rankivabot*,
*RankurBot*,
*rc2.0/client*,
*rclone*,
*RealDownload*,
*Reaper*,
*RebelMouse*,
*Recon-ng*,
*record*,
*Recorder*,
*RedesScrapy*,
*ReGet*,
*RepoMonkey*,
*Re-re*,
*Ripper*,
*ripz*,
*RocketCrawler*,
*Rogerbot*,
*RookIE/1.0*,
*rqwrwqrqwrqw*,
*RSSingBot*,
*ruler*,
*s1z.ru*,
*SalesIntelligent*,
*Sametime Community Agent*,
*sample*,
*satoristudio.net*,
*SBIder*,
*scalaj-http*,
*ScanAlert*,
*Scanbot*,
*scan.lol*,
*ScoutJet*,
*Scrapy*,
*Screaming*,
*ScreenerBot*,
*ScrepyBot*,
*Searchestate*,
*SearchmetricsBot*,
*security scan*,
*Seekport*,
*SeekportBot*,
*SemanticJuice*,
*Semrush*,
*SemrushBot*,
*SentiBot*,
*SenutoBot*,
*seobility*,
*SeobilityBot*,
*seocompany.store*,
*SEOkicks*,
*SEOkicks-Robot*,
*SEOlyticsCrawler*,
*Seomoz*,
*SEOprofiler*,
*seoscanners*,
*SeoSiteCheckup*,
*seostar*,
*SEOstats*,
*serpstatbot*,
*sexsearcher*,
*Shodan*,
*SIPDROID*,
*Siphon*,
*SISTRIX*,
*Sitebeam*,
*SiteCheckerBotCrawler*,
*sitechecker.pro*,
*SiteExplorer*,
*Siteimprove*,
*SiteLockSpider*,
*siteripz*,
*SiteSnagger*,
*Site Sucker*,
*SiteSucker*,
*Sitevigil*,
*SJZJ (compatible; MSIE 6.0; Win32)*,
*SlySearch*,
*SmartDownload*,
*SMTBot*,
*Snake*,
*Snapbot*,
*Snoopy*,
*SocialRankIOBot*,
*Sociscraper*,
*sogouspider*,
*Sogou web spider*,
*Sosospider*,
*Sottopop*,
*SouthSide*,
*SpaceBison*,
*Spammen*,
*SpankBot*,
*Spanner*,
*SPARK*,
*sp_auditbot*,
*Spbot*,
*Spinn3r*,
*springenwerk*,
*SputnikBot*,
*spyfu*,
*sqlmap*,
*Sqlmap*,
*sqlninja*,
*sql power injector*,
*Sqlworm*,
*Sqworm*,
*Steeler*,
*Stripper*,
*Sucker*,
*Sucuri*,
*SunShineMoonLight*,
*SuperBot*,
*SuperHTTP*,
*Surfbot*,
*SurveyBot*,
*Suzuran*,
*svc/1.0*,
*Swiftbot*,
*sysscan*,
*Szukacz*,
*T0PHackTeam*,
*T8Abot*,
*TakeMyPainBack*,
*tAkeOut*,
*teh forest lobster*,
*Teleport*,
*TeleportPro*,
*Telesoft*,
*Telesphoreo*,
*Telesphorep*,
*The Intraformant*,
*TheNomad*,
*Thumbor*,
*TightTwatBot*,
** tiny*,
*TinyTestBot*,
*Titan*,
*Toata*,
*toata dragostea*,
*Toweyabot*,
*Tracemyfile*,
*Trendiction*,
*Trendictionbot*,
*trendiction.com*,
*trendiction.de*,
*True_Robot*,
*Turingos*,
*Turnitin*,
*TurnitinBot*,
*TwengaBot*,
*Twice*,
*Typhoeus*,
*ubermetrics-technologies.com*,
*uil2pn*,
*UnisterBot*,
*Upflow*,
*uploader*,
*URLy.Warning*,
*URLy Warning*,
*User*,
*useragent*,comment
*Vacuum*,
*Vagabondo*,
*V-BOT*,
*VB Project*,
*vb wininet*,
*VCI*,
* vega/*,
*VelenPublicWebCrawler*,
*VeriCiteCrawler*,
*VidibleScraper*,
*Virusdie*,
*voideye*,
*VoidEYE*,
*Voil*,
*Voltron*,
*voyagerx.com*,
*Wallpapers*,
*Wallpapers/3.0*,
*WallpapersHD*,
*WASALive-Bot*,
*WBSearchBot*,
*Webalta*,
*Web Auto*,
*WebAuto*,
*WebBandit*,
*webclient*,
*Web Collage*,
*WebCollage*,
*WebCopier*,
*WEBDAV*,
*Web Enhancer*,
*WebEnhancer*,
*Web Fetch*,
*WebFetch*,
*Web Fuck*,
*WebFuck*,
*webgains-bot*,
*WebGo IS*,
*WebImageCollector*,
*WebLeacher*,
*WebmasterWorldForumBot*,
*webmeup-crawler*,
*Web Pix*,
*WebPix*,
*webprosbot*,
*webpros.com*,
*WebReaper*,
*Web Sauger*,
*WebSauger*,
*webshag*,
*Webshag*,
*WebsiteExtractor*,
*Website Quester*,
*WebsiteQuester*,
*Webster*,
*WebStripper*,
*Web Sucker*,
*WebSucker*,
*webvulnscan*,
*WebWhacker*,
*WebZIP*,
*WeSEE*,
*wfuzz*,
*Wget/1.9+cvs*,
*Whack*,
*Whacker*,
*Whatweb*,
* whcc/*,
*Who.is Bot*,
*Widow*,
*Win32 **,
*WindowsPowerShell/*,
*WinHTTrack*,
*WiseGuys Robot*,
*WISENutbot*,
*Wonderbot*,
*Woobot*,
**wordpress hash grabber**,
*Wotbox*,
*Wprecon*,
*WPScan*,
*WSHRAT*,
*WWW-Collector-E*,
*WWW-Mechanize*,
*WWW::Mechanize*,
*WWWOFFLE*,
*x09Mozilla*,
*x22Mozilla*,
*Xaldon WebSpider*,
*Xaldon_WebSpider*,
*Xenu*,
*Xlmst*,
*XMRig *,
*xpymep1.exe*,
*xxx*,
*YaK*,
*YoudaoBot*,
*Zadanie*,
*Zade*,
*Zauba*,
*zauba.io*,
*Zermelo*,
*ZeroStresser Botnet/1.5*,
**zeroup**,
*Zeus*,
*zgrab*,
*Zitebot*,
* zmeu *,
*ZmEu*,
*ZoomBot*,
*ZoominfoBot*,
*ZumBot*,
*ZyBorg*,
